sku_id,plant_id,region,as_of_week,last_actual_qty,qty_roll_mean_4,qty_roll_mean_12,forecast_qty_4wk,forecast_lower90,forecast_upper90,ili_rate,flu_growth_4w,flu_related
MED006,PLANT_MUM,West,2026-08-10,1995,2098.5,2264.25,2017.0601107678667,1369.7482542144471,2664.3719673212863,2.78,0.00907441016333935,0
MED012,PLANT_DEL,North,2026-08-10,5385,5214.0,5536.083333333333,5081.097540423536,4433.785683870116,5728.409396976956,1.61,-0.3340227507755974,1
MED006,PLANT_BLR,South,2026-08-10,1732,1839.75,1870.5833333333333,1759.7782211121416,1112.466364558722,2407.0900776655612,2.89,0.09781576448243126,0
MED005,PLANT_MUM,West,2026-08-10,4481,4540.25,4680.083333333333,4373.012171791872,3725.7003152384523,5020.3240283452915,2.78,0.00907441016333935,1
MED005,PLANT_KOL,East,2026-08-10,2394,2739.75,2775.6666666666665,2508.475446930655,1861.1635903772353,3155.7873034840745,4.91,0.18028846153846154,1
MED005,PLANT_DEL,North,2026-08-10,3050,2998.25,3276.5833333333335,2920.827506076718,2273.515649523298,3568.1393626301374,1.61,-0.3340227507755957,1
MED005,PLANT_CHE,South,2026-08-10,2163,2417.75,2475.5833333333335,2269.8305190067695,1622.5186624533499,2917.142375560189,2.89,0.09781576448243126,1
MED005,PLANT_BLR,South,2026-08-10,2751,2927.75,2985.3333333333335,2718.610694501507,2071.2988379480876,3365.9225510549268,2.89,0.09781576448243126,1
MED004,PLANT_MUM,West,2026-08-10,2299,2609.75,2702.4166666666665,2452.429686526174,1805.1178299727544,3099.7415430795936,2.78,0.00907441016333935,1
MED004,PLANT_KOL,East,2026-08-10,1625,1808.5,1903.3333333333333,1732.6090162413625,1085.297159687943,2379.920872794782,4.91,0.18028846153846154,1
MED004,PLANT_DEL,North,2026-08-10,1956,2341.5,2293.6666666666665,2157.5502383293947,1510.238381775975,2804.8620948828143,1.61,-0.33402275077559546,1
MED004,PLANT_CHE,South,2026-08-10,1563,1684.0,1824.0833333333333,1802.6845219876018,1155.3726654341822,2449.9963785410214,2.89,0.09781576448243126,1
MED004,PLANT_BLR,South,2026-08-10,1674,1663.5,1770.6666666666667,1654.9153953789437,1007.6035388255242,2302.2272519323633,2.89,0.09781576448243126,1
MED003,PLANT_MUM,West,2026-08-10,4258,4184.25,4302.416666666667,4042.1467131072686,3394.834856553849,4689.458569660688,2.78,0.00907441016333935,1
MED006,PLANT_CHE,South,2026-08-10,1546,1513.75,1624.5833333333333,1478.3079695476788,830.9961129942593,2125.619826101098,2.89,0.09781576448243126,0
MED003,PLANT_KOL,East,2026-08-10,2337,2608.25,2732.5,2266.9141155659895,1619.60225901257,2914.225972119409,4.91,0.18028846153846154,1
MED003,PLANT_CHE,South,2026-08-10,2643,2429.25,2740.5833333333335,2436.06247084073,1788.7506142873103,3083.3743273941495,2.89,0.09781576448243126,1
MED003,PLANT_BLR,South,2026-08-10,3652,3644.0,3846.1666666666665,3551.409922876199,2904.0980663227792,4198.721779429618,2.89,0.09781576448243126,1
MED002,PLANT_MUM,West,2026-08-10,4896,5284.75,5559.75,5120.623114644838,4473.3112580914185,5767.934971198258,2.78,0.00907441016333935,1
MED002,PLANT_KOL,East,2026-08-10,3529,3664.25,3894.0,3487.3731497835233,2840.0612932301037,4134.685006336943,4.91,0.18028846153846154,1
MED002,PLANT_DEL,North,2026-08-10,5352,5452.5,5593.833333333333,5231.346985656724,4584.035129103305,5878.658842210144,1.61,-0.33402275077559496,1
MED002,PLANT_CHE,South,2026-08-10,3352,3866.5,4189.0,3685.3244995970003,3038.0126430435807,4332.6363561504195,2.89,0.09781576448243126,1
MED002,PLANT_BLR,South,2026-08-10,4590,4790.25,5084.666666666667,4629.44051059366,3982.1286540402407,5276.75236714708,2.89,0.09781576448243126,1
MED001,PLANT_MUM,West,2026-08-10,10832,12208.0,12248.833333333334,11081.610541481094,10434.298684927675,11728.922398034512,2.78,0.00907441016333935,1
MED001,PLANT_KOL,East,2026-08-10,7935,8960.25,8649.25,8185.303693031625,7537.991836478205,8832.615549585043,4.91,0.18028846153846154,1
MED001,PLANT_DEL,North,2026-08-10,9423,9694.25,10051.0,9447.727535931557,8800.415679378139,10095.039392484976,1.61,-0.3340227507755947,1
MED001,PLANT_CHE,South,2026-08-10,7306,7355.75,8123.916666666667,7311.752136614656,6664.440280061236,7959.063993168075,2.89,0.09781576448243126,1
MED001,PLANT_BLR,South,2026-08-10,10661,10600.75,11035.583333333334,10033.2582796188,9385.946423065381,10680.570136172219,2.89,0.09781576448243126,1
MED003,PLANT_DEL,North,2026-08-10,3112,3352.25,3652.4166666666665,3247.6579705610793,2600.3461140076597,3894.969827114499,1.61,-0.3340227507755952,1
MED012,PLANT_KOL,East,2026-08-10,3772,3702.75,3932.5,3405.2957455209585,2757.983888967539,4052.607602074378,4.91,0.18028846153846154,1
MED006,PLANT_DEL,North,2026-08-10,1556,1608.25,1735.0,1542.539193296345,895.2273367429256,2189.8510498497644,1.61,-0.3340227507755959,0
MED007,PLANT_BLR,South,2026-08-10,6709,7173.75,7104.833333333333,6681.854687352506,6034.542830799086,7329.166543905925,2.89,0.09781576448243126,0
MED012,PLANT_CHE,South,2026-08-10,4119,4140.25,4484.25,4084.810820654667,3437.4989641012476,4732.122677208086,2.89,0.09781576448243126,1
MED012,PLANT_BLR,South,2026-08-10,4390,4666.25,4845.666666666667,4390.894148263889,3743.5822917104697,5038.206004817309,2.89,0.09781576448243126,1
MED011,PLANT_MUM,West,2026-08-10,4616,5104.25,5337.25,4889.890430968235,4242.578574414815,5537.202287521654,2.78,0.00907441016333935,0
MED011,PLANT_KOL,East,2026-08-10,2535,2896.0,3035.4166666666665,2865.1176775360423,2217.8058209826227,3512.429534089462,4.91,0.18028846153846154,0
MED011,PLANT_DEL,North,2026-08-10,3800,4340.75,4650.5,4158.418846163475,3511.1069896100553,4805.7307027168945,1.61,-0.3340227507755971,0
MED011,PLANT_CHE,South,2026-08-10,5101,4407.75,4496.166666666667,4014.020178400905,3366.7083218474854,4661.332034954325,2.89,0.09781576448243126,0
MED011,PLANT_BLR,South,2026-08-10,3862,4091.5,4122.5,3879.981208626822,3232.6693520734025,4527.293065180242,2.89,0.09781576448243126,0
MED010,PLANT_MUM,West,2026-08-10,5268,5405.25,5809.416666666667,5222.368246843473,4575.056390290053,5869.680103396892,2.78,0.00907441016333935,0
MED010,PLANT_KOL,East,2026-08-10,3466,3555.25,3614.4166666666665,3373.492511177525,2726.1806546241055,4020.8043677309447,4.91,0.18028846153846154,0
MED010,PLANT_DEL,North,2026-08-10,4794,5484.5,5395.75,5013.979386680065,4366.667530126645,5661.291243233484,1.61,-0.3340227507755969,0
MED010,PLANT_CHE,South,2026-08-10,3366,3390.75,3566.25,3244.00658319259,2596.6947266391703,3891.3184397460095,2.89,0.09781576448243126,0
MED010,PLANT_BLR,South,2026-08-10,4361,4367.25,4566.5,4162.69654442631,3515.38468787289,4810.008400979729,2.89,0.09781576448243126,0
